Concatenar;Status;Semi-acabado;Descrição Semi-acabado;Qtd Semi-acabado;Centro Semi-acabado;Matéria-Prima;Descrição Matéria-Prima;Qtd Matéria-Prima;UN Matéria-Prima;;;
3700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010046;ALCOOL ETILICO; 80,000 ;KG;;;
4700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010047;ALCOOL ISOPROPILICO(ISOPROPANOL); 120,000 ;KG;;;
5700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010120;POLIETILENOGLICOL 6000-MACROGOL 6000; 1,000 ;KG;;;
6700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010174;COR ALUM LACA AMARELO CREPUSCULO 6; 2,000 ;KG;;;
7700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010228;DIOXIDO TITANIO; 4,000 ;KG;;;
8700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010241;EDTA DISSODICO DIH(EDETATO DE SODIO); 2,400 ;KG;;;
9700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010311;ESTEARATO MAGNESIO; 3,800 ;KG;;;
10700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010322;POL CAT AC METACRIL(EUDRAGIT E100 G; 6,000 ;KG;;;
11700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010494;METILDOPA; 230,000 ;KG;;;
12700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010923;CROSCARMELOSE SODICA; 14,000 ;KG;;;
13700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010953;TALCO; 5,000 ;KG;;;
14700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010964;POVIDONA K29-32; 20,000 ;KG;;;
15700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;011049;OXIDO DE FERRO VERM(USP REF.33.8075); 1,100 ;KG;;;
16700236;SEMI ACABADO;700236;METILDOPA 500MG COMP REV;400.000;600;010553;CROSPOVIDONE; 12,000 ;KG;;;
