Estoques WM com texto breve de material

Nº depósito				WNM

		Material	Texto breve material		UMB	Lote	Cen.	Dep.	Tp.	Posiç	Estq.dispon.	Data venc.	Últ.movim.	T	Últ.entrd.
		011689	SULFATO DE CALCIO DIHIDRATADO		KG	M5Q5303	600	PES	999	AJU-SAIDA	      0,004	31.03.2031	26.08.2026	S	26.08.2026
		011689	SULFATO DE CALCIO DIHIDRATADO		KG	M5Q7614	600	PES	999	AJU-SAIDA	      0,003	31.03.2031	26.08.2026	S	26.08.2026
		011689	SULFATO DE CALCIO DIHIDRATADO		KG	M5R6249	600	PES	999	AJU-SAIDA	      0,016	30.04.2031	26.08.2026	S	26.08.2026
		011691	DIPIRONA SODICA CD90		KG	M5C6523-1	600	PES	999	AJU-SAIDA	      0,495	01.05.2029	26.08.2026	S	26.08.2026
		011691	DIPIRONA SODICA CD90		KG	M5C6524-1	600	PES	999	AJU-SAIDA	      0,215	01.05.2029	26.08.2026	S	26.08.2026
		011691	DIPIRONA SODICA CD90		KG	M5C6527-1	600	PES	999	AJU-SAIDA	      0,235	01.05.2029	26.08.2026	S	26.08.2026
		011691	DIPIRONA SODICA CD90		KG	M5C0754-1	600	PES	999	AJU-SAIDA	      0,520	01.05.2029	26.08.2026	S	26.08.2026
		011691	DIPIRONA SODICA CD90		KG	M5C0756-1	600	PES	999	AJU-SAIDA	      0,035	01.05.2029	26.08.2026	S	26.08.2026
		011691	DIPIRONA SODICA CD90		KG	M5C0757-1	600	PES	999	AJU-SAIDA	      0,195	01.05.2029	26.08.2026	S	26.08.2026
		011726	HIDROXIPROPILCELULOSE EF		KG	M5L0655	600	PES	999	AJU-SAIDA	      0,002	14.11.2030	28.08.2026	S	28.08.2026
		011759	BROMIDRATO DE CITALOPRAM (C1)**		KG	M5G1712	600	PES	999	AJU-SAIDA	      0,045	01.06.2030	26.08.2026	S	26.08.2026
		011770	LEVOFLOXACINO		KG	M4N3017-1	600	PES	999	AJU-SAIDA	      0,104	04.11.2026	26.08.2026	S	26.08.2026
		011770	LEVOFLOXACINO		KG	M4N3018-1	600	PES	999	AJU-SAIDA	      0,780	04.11.2026	26.08.2026	S	26.08.2026
		011770	LEVOFLOXACINO		KG	M5B7566-1	600	PES	999	AJU-SAIDA	      3,039	03.07.2027	28.08.2026	S	28.08.2026
		011770	LEVOFLOXACINO		KG	M4Y1663-1	600	PES	999	AJU-SAIDA	      0,556	27.10.2027	26.08.2026	S	26.08.2026
		011770	LEVOFLOXACINO		KG	M4Y1662-1	600	PES	999	AJU-SAIDA	      2,236	26.10.2027	28.08.2026	S	28.08.2026
		011770	LEVOFLOXACINO		KG	M4N3019-1	600	PES	999	AJU-SAIDA	      0,357	05.11.2026	26.08.2026	S	26.08.2026
		011776	ROSUVASTATINA CALCICA		KG	M5K4794-1	600	PES	999	AJU-SAIDA	      0,001	01.07.2028	26.08.2026	S	26.08.2026
		011776	ROSUVASTATINA CALCICA		KG	M5O1089-1	600	PES	999	AJU-SAIDA	      1,373	01.02.2031	28.08.2026	S	28.08.2026
		011776	ROSUVASTATINA CALCICA		KG	M5Q9379-1	600	PES	999	AJU-SAIDA	      0,014	01.05.2031	26.08.2026	S	26.08.2026
		011776	ROSUVASTATINA CALCICA		KG	M5Q9384-1	600	PES	999	AJU-SAIDA	      0,017	01.04.2031	26.08.2026	S	26.08.2026
		011781	HPMC+HPC+PEG		KG	M5P7386	600	PES	999	AJU-SAIDA	      0,081	26.03.2028	26.08.2026	S	26.08.2026
		011781	HPMC+HPC+PEG		KG	M5P7385	600	PES	999	AJU-SAIDA	      0,024	19.02.2028	26.08.2026	S	26.08.2026
		011783	MICOFENOLATO SODICO		KG	M3Q0755	600	PES	999	AJU-SAIDA	      0,142	01.05.2028	28.08.2026	S	28.08.2026
		011783	MICOFENOLATO SODICO		KG	M3Q0758	600	PES	999	AJU-SAIDA	      0,051	01.02.2028	26.08.2026	S	26.08.2026
		011808	CLORIDRATO DE PSEUDOEFEDRINA (D1)**		KG	M5J4588	600	PES	999	AJU-SAIDA	      5,040	01.02.2028	28.08.2026	S	28.08.2026
		012286	HPMC (METHOCEL K15M-CR)		KG	M5N8354	600	PES	999	AJU-SAIDA	     14,920	31.12.2030	28.08.2026	S	28.08.2026
		012367	ATORVASTATINA CALCICA		KG	M5P4209-1	600	PES	999	AJU-SAIDA	      0,316	08.04.2028	28.08.2026	S	28.08.2026
		012367	ATORVASTATINA CALCICA		KG	M5P4213-1	600	PES	999	AJU-SAIDA	      0,549	06.04.2028	28.08.2026	S	28.08.2026
		012459	CELULOSE MICROCRISTALINA (TIPO 302)		KG	M5N8336	600	PES	999	AJU-SAIDA	      0,011	28.02.2028	26.08.2026	S	26.08.2026
		013095	HPMC+TRIAC+D TIT(OPADRY OY-S-7322 BRANCO		KG	M5L6389	600	PES	999	AJU-SAIDA	      0,121	10.03.2028	26.08.2026	S	26.08.2026
		013365	CAPS 4 ESC/BRANCO		UN	M5Q2362	600	PES	999	AJU-SAIDA	    202,270	01.03.2031	26.08.2026	S	26.08.2026
		013365	CAPS 4 ESC/BRANCO		UN	M5O4915	600	PES	999	AJU-SAIDA	    780,020	01.03.2031	26.08.2026	S	26.08.2026
		013365	CAPS 4 ESC/BRANCO		UN	M5K1643	600	PES	999	AJU-SAIDA	    220,890	11.02.2031	26.08.2026	S	26.08.2026
		013381	CROSPOVIDONE NF		KG	M5H7022	600	PES	999	AJU-SAIDA	      0,026	17.06.2027	26.08.2026	S	26.08.2026
		013472	OLMESARTANA MEDOXOMILA (144689-63-4)		KG	M5Q9807-1	600	PES	999	AJU-SAIDA	      0,010	01.11.2028	28.08.2026	S	28.08.2026
		013472	OLMESARTANA MEDOXOMILA (144689-63-4)		KG	M5Q6937-1	600	PES	999	AJU-SAIDA	      0,012	29.06.2028	26.08.2026	S	26.08.2026
		013796	HIDROCLOROTIAZIDA MICRONIZADA (58-93-5)		KG	M5J3218	600	PES	999	AJU-SAIDA	      0,007	14.06.2029	26.08.2026	S	26.08.2026
		014660	SURELEASE 19040		KG	M5M7127	600	PES	999	AJU-SAIDA	      0,023	01.09.2027	26.08.2026	S	26.08.2026
		017189	COLAGENO UC-250 POWDER UC-II (ALIM)		KG	M4W9125	600	PES	999	AJU-SAIDA	      0,015	15.10.2027	26.08.2026	S	26.08.2026
		017264	BILASTINA		KG	M5J1684-1	600	PES	999	AJU-SAIDA	      0,001	01.12.2030	26.08.2026	S	26.08.2026
		017264	BILASTINA		KG	M5J1675-1	600	PES	999	AJU-SAIDA	      0,001	01.12.2030	26.08.2026	S	26.08.2026
		017264	BILASTINA		KG	M5J1674-1	600	PES	999	AJU-SAIDA	      0,001	01.12.2030	26.08.2026	S	26.08.2026
		017265	BESILATO DE LEVANLODIPINO		KG	M5O6592	600	PES	999	AJU-SAIDA	      0,221	04.05.2031	28.08.2026	S	28.08.2026
		017778	RIVAROXABANA		KG	M5A2445-1	600	PES	999	AJU-SAIDA	      0,001	21.04.2030	26.08.2026	S	26.08.2026
		017949	LINAGLIPTINA		KG	M5L3689-1	600	PES	999	AJU-SAIDA	      0,054	01.01.2031	28.08.2026	S	28.08.2026
		018011	SULFATO HIDROXICLOROQUINA		KG	M5L8107-1	600	PES	999	AJU-SAIDA	      0,010	01.01.2031	26.08.2026	S	26.08.2026
		018011	SULFATO HIDROXICLOROQUINA		KG	M5L8106-1	600	PES	999	AJU-SAIDA	      0,052	01.01.2031	26.08.2026	S	26.08.2026
		018011	SULFATO HIDROXICLOROQUINA		KG	M5L8105-1	600	PES	999	AJU-SAIDA	      0,021	01.01.2031	26.08.2026	S	26.08.2026
		018011	SULFATO HIDROXICLOROQUINA		KG	M5I6162-1	600	PES	999	AJU-SAIDA	      0,021	01.09.2030	26.08.2026	S	26.08.2026
		018143	BISGLICINATO MG BUF GRAN (ALIM)		KG	M5H1380	600	PES	999	AJU-SAIDA	      0,006	07.04.2028	28.08.2026	S	28.08.2026
		019397	EMPAGLIFLOZINA		KG	M5N0332-1	600	PES	999	AJU-SAIDA	      0,001	01.10.2030	28.08.2026	S	28.08.2026
		019397	EMPAGLIFLOZINA		KG	M5N0331-1	600	PES	999	AJU-SAIDA	      0,001	01.10.2030	28.08.2026	S	28.08.2026
		301987	METASSILICATO DE ALUMINIO E MAGNESIO		KG	M4V9741	600	PES	999	AJU-SAIDA	      0,040	21.09.2026	26.08.2026	S	26.08.2026
		302066	DAPAGLIFLOZINA AMORFA		KG	M5L0372-1	600	PES	999	AJU-SAIDA	      2,343	01.01.2031	26.08.2026	S	26.08.2026
		302066	DAPAGLIFLOZINA AMORFA		KG	M5P8201-1	600	PES	999	AJU-SAIDA	      5,080	01.04.2031	26.08.2026	S	19.08.2026
		302066	DAPAGLIFLOZINA AMORFA		KG	M5P8203-1	600	PES	999	AJU-SAIDA	      0,021	01.04.2031	28.08.2026	S	26.08.2026
		302097	AMIDO PRE + DIOXIDO SIL. (STAR TAB 4001)		KG	M5P0947	600	PES	999	AJU-SAIDA	      0,010	06.05.2031	26.08.2026	S	26.08.2026
		302097	AMIDO PRE + DIOXIDO SIL. (STAR TAB 4001)		KG	M5P0946	600	PES	999	AJU-SAIDA	      0,013	06.05.2031	28.08.2026	S	28.08.2026
		302097	AMIDO PRE + DIOXIDO SIL. (STAR TAB 4001)		KG	M5P0945	600	PES	999	AJU-SAIDA	      0,141	08.04.2031	26.08.2026	S	26.08.2026
		302097	AMIDO PRE + DIOXIDO SIL. (STAR TAB 4001)		KG	M5P0941	600	PES	999	AJU-SAIDA	      0,066	22.04.2031	26.08.2026	S	26.08.2026
		302097	AMIDO PRE + DIOXIDO SIL. (STAR TAB 4001)		KG	M5M7499	600	PES	999	AJU-SAIDA	      0,033	08.04.2031	26.08.2026	S	26.08.2026
		302097	AMIDO PRE + DIOXIDO SIL. (STAR TAB 4001)		KG	M5M7498	600	PES	999	AJU-SAIDA	      3,130	07.04.2031	26.08.2026	S	26.08.2026
		302183	PALMITOILETANOLAMIDA (ALIM)		KG	M5E4301	600	PES	999	AJU-SAIDA	      0,176	01.02.2028	26.08.2026	S	26.08.2026
		302234	CALCIO CITRATO MALATO- CCM (ALIM)		KG	M5K0966	600	PES	999	AJU-SAIDA	      0,003	13.02.2028	26.08.2026	S	26.08.2026
		302234	CALCIO CITRATO MALATO- CCM (ALIM)		KG	M5K0975	600	PES	999	AJU-SAIDA	      0,001	12.02.2028	26.08.2026	S	26.08.2026
		010013	ACIDO ACETILSALICILICO		KG	M5G1540-1	600	PES	999	AJUSTE	      0,003	11.09.2028	01.09.2026	S	01.09.2026
		010056	AMIDO		KG	M5N5390	600	PES	999	AJUSTE	      0,001	03.04.2028	08.09.2026	S	08.09.2026
		010056	AMIDO		KG	M5N9026	600	PES	999	AJUSTE	      0,031	03.04.2028	08.09.2026	S	08.09.2026
		010056	AMIDO		KG	M5O9466	600	PES	999	AJUSTE	      3,174	03.04.2028	08.09.2026	S	01.09.2026
		010067	ASCORBATO DE SODIOGRANULADO		KG	M4Z7330	600	PES	999	AJUSTE	      0,419	23.03.2027	01.09.2026	S	01.09.2026
		010071	CELULOSE MIC (TIPO200)		KG	M5R1188	600	PES	999	AJUSTE	      0,090	11.07.2029	01.09.2026	S	01.09.2026
		010071	CELULOSE MIC (TIPO200)		KG	M5R5504	600	PES	999	AJUSTE	      0,001	16.03.2029	08.09.2026	S	08.09.2026
		010112	CARBONATO DE CALCIO (EXTRA LEVE)		KG	M4U6868	600	PES	999	AJUSTE	      0,286	01.12.2026	01.09.2026	S	01.09.2026
		010112	CARBONATO DE CALCIO (EXTRA LEVE)		KG	M4L8233	600	PES	999	AJUSTE	      1,075	26.10.2026	01.09.2026	S	01.09.2026
		010112	CARBONATO DE CALCIO (EXTRA LEVE)		KG	M4L3589	600	PES	999	AJUSTE	      0,012	26.10.2026	01.09.2026	S	01.09.2026
		010174	COR ALUM LACA AMARELO CREPUSCULO 6		KG	M5M3027	600	PES	999	AJUSTE	      1,860	05.11.2031	01.09.2026	S	01.09.2026
